msgid,msgstr,occurrences,notes
Accepted,,label_studio/tasks/choices.py,
Action value,,label_studio/webhooks/models.py,
Additional metadata in JSON format,,label_studio/tasks/models.py,
All,全部,label_studio/ml_models/models.py,
Allow sending newsletters to user,允许向用户发送简报,label_studio/users/models.py,
Annotation created,已创建标注,label_studio/webhooks/models.py,
Annotation deleted,标注已删除,label_studio/webhooks/models.py,
Annotation updated,标注已更新,label_studio/webhooks/models.py,
Annotations created,标注 创建,label_studio/webhooks/models.py,
Anthropic,,label_studio/ml_model_providers/models.py,
AzureAIFoundry,,label_studio/ml_model_providers/models.py,
AzureOpenAI,,label_studio/ml_model_providers/models.py,
Basic Auth,,label_studio/ml/models.py,
Business number %d,,label_studio/projects/models.py,
Completed,已完成,label_studio/data_export/models.py;label_studio/data_export/models.py;label_studio/fsm/registry.py;label_studio/fsm/state_choices.py;label_studio/fsm/state_choices.py;label_studio/fsm/state_choices.py;label_studio/io_storages/base_models.py;label_studio/projects/models.py;label_studio/projects/models.py;label_studio/users/product_tours/models.py,
Completed with errors,已完成 with errors,label_studio/io_storages/base_models.py,
Connected,,label_studio/ml/models.py,
Cost of the completion,,label_studio/tasks/models.py,
Cost of the prompt,,label_studio/tasks/models.py,
Create,,label_studio/templates/standard_form.html,
Created,创建,label_studio/data_export/models.py;label_studio/data_export/models.py;label_studio/fsm/registry.py;label_studio/fsm/state_choices.py;label_studio/fsm/state_choices.py;label_studio/projects/models.py;label_studio/projects/models.py,
Created at,创建于,label_studio/labels_manager/models.py,
Created from another annotation,创建 from another 标注,label_studio/tasks/choices.py,
Created from prediction,创建 from 预测,label_studio/tasks/choices.py,
Creation time,,label_studio/webhooks/models.py,
Custom,,label_studio/ml_model_providers/models.py,
Custom keyboard shortcuts configuration for the user interface,,label_studio/users/models.py,
Deleted review,,label_studio/tasks/choices.py,
Description,描述,label_studio/labels_manager/models.py,
Designates whether the user can log into this admin site.,,label_studio/users/models.py,
Designates whether to treat this user as active. Unselect this instead of deleting accounts.,,label_studio/users/models.py,
Directory indexes are not allowed here.,,label_studio/core/utils/static_serve.py,
Disconnected,,label_studio/ml/models.py,
Error,,label_studio/ml/models.py,
Export status,,label_studio/data_export/models.py,
Exporting meta data,,label_studio/data_export/models.py,
